school_name,division,city_state,type,conference,athletics_domain,status
Williams Baptist University,NAIA,"Walnut Ridge,Arkansas",Private,American Midwest Conference,williamsbu.edu,FOUND
Xavier University of Louisiana,NAIA,"New Orleans,Louisiana",Private,Red River Athletic Conference,xulagold.com,FOUND
York University,NAIA,"York,Nebraska",Private,Kansas Collegiate Athletic Conference,yorkpanthers.com,FOUND
Abilene Christian University,NCAA D1,"Abilene,Texas",Private,Western Athletic Conference,acusports.com,FOUND
Alabama A&M University,NCAA D1,"Normal,Alabama",Public,Southwestern Athletic Conference,aamusports.com,FOUND
Alabama State University,NCAA D1,"Montgomery,Alabama",Public,Southwestern Athletic Conference,bamastatesports.com,FOUND
Alcorn State University,NCAA D1,"Alcorn State,Mississippi",Public,Southwestern Athletic Conference,alcornsports.com,FOUND
American University,NCAA D1,"Washington,District Of Columbia",Private,Patriot League,aueagles.com,FOUND
Appalachian State University,NCAA D1,"Boone,North Carolina",Public,Sun Belt Conference,appstate.edu,FOUND
Arizona State University,NCAA D1,"Tempe,Arizona",Public,Big 12 Conference,sundevils.com,FOUND
Arkansas State University,NCAA D1,"Jonesboro,Arkansas",Public,Sun Belt Conference,arkansasrazorbacks.com,FOUND
Auburn University,NCAA D1,"Auburn,Alabama",Public,Southeastern Conference,auburntigers.com,FOUND
Austin Peay State University,NCAA D1,"Clarksville,Tennessee",Public,Atlantic Sun Conference,letsgopeay.com,FOUND
Ball State University,NCAA D1,"Muncie,Indiana",Public,Mid-American Conference,ballstatesports.com,FOUND
Baylor University,NCAA D1,"Waco,Texas",Private,Big 12 Conference,baylorbears.com,FOUND
Bellarmine University,NCAA D1,"Louisville,Kentucky",Private,Atlantic Sun Conference,athletics.bellarmine.edu,FOUND
Belmont University,NCAA D1,"Nashville,Tennessee",Private,Missouri Valley Conference,belmontbruins.com,FOUND
Bethune-Cookman University,NCAA D1,"Daytona Beach,Florida",Private,Southwestern Athletic Conference,bcuathletics.com,FOUND
Boise State University,NCAA D1,"Boise,Idaho",Public,Mountain West Conference,broncosports.com,FOUND
Boston College,NCAA D1,"Chestnut Hill,Massachusetts",Private,Atlantic Coast Conference,goterriers.com,FOUND
Bowling Green State University,NCAA D1,"Bowling Green,Ohio",Public,Mid-American Conference,bgsufalcons.com,FOUND
Bradley University,NCAA D1,"Peoria,Illinois",Private,Missouri Valley Conference,bradleybraves.com,FOUND
Brigham Young University,NCAA D1,"Provo,Utah",Private,Big 12 Conference,liferunningeagles.com,FOUND
Brown University,NCAA D1,"Providence,Rhode Island",Private,Ivy League,brownbears.com,FOUND
Bryant University,NCAA D1,"Smithfield,Rhode Island",Private,American East Conference,bryantbulldogs.com,FOUND
Bucknell University,NCAA D1,"Lewisburg,Pennsylvania",Private,Patriot League,bucknellbison.com,FOUND
Butler University,NCAA D1,"Indianapolis,Indiana",Private,Big East Conference,butlersports.com,FOUND
California Baptist University,NCAA D1,"Riverside,California",Private,Western Athletic Conference,calbaptist.edu,FOUND
California Polytechnic State University – San Luis Obispo,NCAA D1,"San Luis Obispo,California",Public,Big Sky Conference,cpp.edu,FOUND
California State University – Bakersfield,NCAA D1,"Bakersfield,California",Public,Big West Conference,calbears.com,FOUND
California State University – Fresno,NCAA D1,"Fresno,California",Public,Mountain West Conference,calbears.com,FOUND
California State University – Fullerton,NCAA D1,"Fullerton,California",Public,Big West Conference,calbears.com,FOUND
California State University – Long Beach,NCAA D1,"Long Beach,California",Public,Big West Conference,calbears.com,FOUND
California State University – Northridge,NCAA D1,"Northridge,California",Public,Big West Conference,calbears.com,FOUND
California State University – Sacramento,NCAA D1,"Sacramento,California",Public,Big Sky Conference,calbears.com,FOUND
Campbell University,NCAA D1,"Buies Creek,North Carolina",Private,Colonial Athletic Association,gocamels.com,FOUND
Canisius University,NCAA D1,"Buffalo,New York",Private,Metro Atlantic Athletic Conference,gogriffs.com,FOUND
Central Connecticut State University,NCAA D1,"New Britain,Connecticut",Public,Northeast Conference,ccsubluedevils.com,FOUND
Central Michigan University,NCAA D1,"Mount Pleasant,Michigan",Public,Mid-American Conference,cmuchippewas.com,FOUND
Charleston Southern University,NCAA D1,"Charleston,South Carolina",Private,Big South Conference,csusports.com,FOUND
Chicago State University,NCAA D1,"Chicago,Illinois",Public,Northeast Conference,gocsucougars.com,FOUND
Clemson University,NCAA D1,"Clemson,South Carolina",Public,Atlantic Coast Conference,clemsontigers.com,FOUND
Cleveland State University,NCAA D1,"Cleveland,Ohio",Public,Horizon League,csuvikings.com,FOUND
Coastal Carolina University,NCAA D1,"Conway,South Carolina",Public,Sun Belt Conference,goccusports.com,FOUND
Colgate University,NCAA D1,"Hamilton,New York",Private,Patriot League,colgateathletics.com,FOUND
College of Charleston,NCAA D1,"Charleston,South Carolina",Public,Colonial Athletic Association,cofcsports.com,FOUND
College of the Holy Cross,NCAA D1,"Worcester,Massachusetts",Private,Patriot League,goholycross.com,FOUND
Colorado State University,NCAA D1,"Fort Collins,Colorado",Public,Mountain West Conference,csurams.com,FOUND
Columbia University,NCAA D1,"New York,New York",Private,Ivy League,gocolumbialions.com,FOUND
Coppin State University,NCAA D1,"Baltimore,Maryland",Public,Mid-Eastern Athletic Conference,coppinstatesports.com,FOUND
Cornell University,NCAA D1,"Ithaca,New York",Private,Ivy League,cornellbigred.com,FOUND
Creighton University,NCAA D1,"Omaha,Nebraska",Private,Big East Conference,gocreighton.com,FOUND
